|Description|new_summary|entities
12|US $2 BILLION AID PLEDGE A 'LANDMARK INVESTMENT IN HUMANITY' -UN AID CHIEF TOM FLETCHER|The UN aid chief Tom Fletcher has announced a significant US $2 billion aid pledge, framed as a 'landmark investment in humanity.' This initiative highlights a major commitment from the United States towards humanitarian efforts.|
13|UKRAINE TRIED TO ATTACK PUTIN RESIDENCE IN NOVGOROD REGION - IFX|Ukraine reportedly attempted an attack on Putin's residence in the Novgorod region, according to IFX.|
14|RUSSIA WILL RETALIATE - TASS CITES LAVROV  RUSSIA WILL CHANGE ITS NEGIOTIATING POSITION - TASS|Russia's Foreign Minister Lavrov stated that the country will retaliate and alter its negotiating position, as reported by TASS.|
15|**TIME NEEDED FOR HOME DOWN PAYMENTS DROPS TO 7 YEARS**  Realtor reports that saving for a home down payment remains a major barrier to U.S. homeownership  despite improving market conditions. In 2025  the typical household needed seven years to save for a down payment  down from a peak of 12 years in 2022.  Rising home prices and competition have pushed down payments higher  while inflation has constrained savings. The personal savings rate has averaged 5.1% of income in 2025  below the pre-pandemic norm of 6.5%. Typical down payments rose from $13 900 in 3Q 2019 to $30 400 in 3Q 2025.|A report indicates that the time needed to save for a home down payment in the U.S. has dropped to 7 years in 2025, despite rising home prices and competition. Factors like inflation and a lower personal savings rate contribute to the ongoing challenges in home purchasing.|
16|TARGETS AND TIMING OF RUSSIAN COUNTERSTRIKE AFTER ATTACK ON PUTIN'S STATE RESIDENCE DETERMINED - TASS|A potential counterstrike by Russia has been determined following an attack on President Putin's state residence, according to TASS.|
17|SPOT SILVER PLUNGES 10% INTRADAY|Silver prices have seen a significant intraday drop of 10%.|silver
18|SPOT GOLD  EXTENDS DECLINE  LAST DOWN 5% AT $4 302.59/OZ|Spot gold has experienced a significant decline, dropping 5% to a price of $4,302.59 per ounce.|gold
19|WHITE HOUSE SPOKESWOMAN: PRESIDENT TRUMP HAS CONCLUDED A POSITIVE CALL WITH PRESIDENT PUTIN CONCERNING UKRAINE|President Trump and President Putin have had a positive discussion regarding Ukraine, as confirmed by the White House spokeswoman.|
20|KREMLIN’S USHAKOV: PUTIN TOLD TRUMP THAT UKRAINE LAUNCHED A DRONE ATTACK ON PRESIDENTIAL RESIDENCE IN RUSSIA  KREMLIN’S USHAKOV: TRUMP WAS SHOCKED WHEN PUTIN TOLD HIM ABOUT THE DRONE ATTACK ON RUSSIAN PRESIDENTIAL RESIDENCE|Putin informed Trump about a drone attack launched by Ukraine on a presidential residence in Russia, which reportedly shocked Trump.|
21|SPOT PALLADIUM FURTHER EXTENDS LOSSES  LAST DOWN OVER 17% AT $1 588.32/OZ|Palladium prices have dropped over 17%, now sitting at $1,588.32 per ounce, indicating a significant decline in demand or market pressures.|Palladium
22|TRUMP: HOPE TO GET TO PHASE TWO OF GAZA PLAN VERY QUICKLY|Trump expresses hope to rapidly advance to the second phase of the Gaza plan, indicating potential geopolitical developments.|
23|TRUMP ON VENEZUELA FACILITY: THERE WAS A MAJOR EXPLOSION IN DOCK AREA WHERE THEY LOAD UP DRUGS|Trump commented on a major explosion at a facility in Venezuela where drugs are loaded, highlighting the dangerous situation in the region.|
24|TRUMP:  I HEAR IRAN IS TRYING TO BUILD UP AGAIN|Trump has raised concerns about Iran's potential developments in building up their capabilities. This statement can heighten geopolitical tensions involving Iran.|
25|TRUMP: IF THEY ARE WE HAVE TO KNOCK THEM DOWN|Trump emphasizes the need to take action against an unspecified adversary, implying a readiness for aggressive measures.|
26|TRUMP: IRAN SHOULD MAKE A DEAL BUT SOMETIMES THAT DOESN'T HAPPEN|Trump commented on Iran's need to make a deal, indicating that negotiations are complex and not always successful.|
27|TRUMP: WOULD SUPPORT FAST ATTACK ON IRAN IF IT CONTINUES NUCLEAR BUILDUP|Trump expressed support for a potential military response to Iran if the country continues its nuclear development activities. This indicates rising geopolitical tensions.|
28|TRUMP: I THINK IT'S A VERY HARD THING TO NOT PARDON NETANYAHU|Trump expresses his belief that it would be difficult to avoid pardoning Netanyahu, suggesting political implications surrounding the decision.|
29|"TRUMP: ""I DON'T LIKE IT"" ON ALLEGED STRIKE ON PUTIN'S RESIDENCE"|Trump expressed his disapproval regarding the alleged strike on Putin's residence, highlighting geopolitical tensions.|
30|TRUMP: PUTIN TOLD HIM HE WAS ATTACKED BY UKRAINE STRIKE ON HOME|Trump reported that Putin claimed he was attacked by a Ukrainian strike on his home, highlighting escalating tensions in the Ukraine-Russia conflict.|
31|TRUMP: IN FIVE MINUTES OF MEETING WITH NETANYAHU WE SETTLED THREE ISSUES|Trump announced that within five minutes of meeting with Netanyahu, they were able to resolve three significant issues. This highlights a potential positive development in US-Israel relations.|
32|U.S. CRUDE OIL FUTURES SETTLE AT $58.08/BBL  UP $1.34  2.36 PCT|U.S. crude oil futures closed at $58.08 per barrel, marking a positive movement with a $1.34 increase or 2.36%.|Crude Oil
33|PUTIN ORDERS 261 000-MAN CONSCRIPTION IN 2026  Russian President Vladimir Putin has signed a decree mandating military conscription in 2026. The order calls for the recruitment of 261 000 citizens aged 18 to 30 between January and December 31  excluding those already in reserve.  Conscripts will be deployed to their assigned units during two periods: April 1 to July 15  and October 1 to December 31.|Russian President Vladimir Putin has issued a decree for the conscription of 261,000 citizens aged 18 to 30 in 2026, indicating a significant military mobilization effort. This move reflects ongoing geopolitical tensions and military readiness strategies.|
34|MEDVEDEV: ZELENSKY WILL HAVE TO STAY IN HIDING FOR LIFE|Medvedev's statement indicates that he believes Zelensky will be unable to return to a public life, reinforcing ongoing tensions in the geopolitical landscape.|
35|"*TRUMP: WILL ANNOUNCE POWELL'S REPLACEMENT ""PROBABLY JANUARY""  *TRUMP: STILL MIGHT FIRE POWELL"|Trump plans to announce the replacement for Federal Reserve Chair Powell in January and has indicated he might still fire him before then.|
36|$TSLA** - TESLA ANALYST ESTIMATES SIGNAL Q4 DELIVERY DECLINE**  Tesla has published a compilation of analyst delivery estimates showing an expected 15% year-over-year drop in fourth-quarter vehicle deliveries. Analysts tracked by Tesla forecast 422 850 deliveries  below the Bloomberg consensus of 445 061  which implies a 10% decline.  This is the first time Tesla has publicly shared these estimates on its investor relations website. For the full year  the company’s compiled estimate is about 1.6 million deliveries  down more than 8% from last year  pointing to a second consecutive annual sales decline.  Despite weaker delivery expectations  Tesla shares are up 14% year to date through Monday’s close  trailing the S&P 500’s 17% gain.|Tesla is projected to face a 15% drop in Q4 vehicle deliveries according to analyst estimates, reflecting a second consecutive annual sales decline despite a 14% rise in shares year-to-date.|Tesla, $TSLA
37|$TSLA** - TESLA STOCK FORECAST: BAIRD PREVIEWS 2026**  Baird expects Tesla to enter 2026 with multiple catalysts  maintaining an Outperform rating and a $548 price target. The firm views Tesla as a core holding  noting the stock is up 21% year to date and 7% over the past month  outperforming the S&P 500.  Key catalysts include expected robotaxi announcements  potential regulatory and revenue updates in China and the EU  and progress in Optimus production  Tesla Semi volumes  and Energy segment growth. Baird also reaffirmed expectations for paid robotaxi service and initial Optimus commercialization in 2027.  The firm updated its long-term model through 2030  removed prior Model 2 delivery assumptions  and continues to base its valuation on roughly 70x 2030 EBITDA  discounted to year-end 2026.|Baird has provided an optimistic forecast for Tesla, setting a price target of $548 and highlighting key catalysts expected to boost the stock's performance through 2026. The firm maintains an Outperform rating, citing Tesla's significant year-to-date gains and its potential growth in multiple sectors.|Tesla, $TSLA
38|SILVER47 DISCOVERS NEW HIGH-GRADE MASSIVE SULFIDE ZONE AT RED MOUNTAIN PROJECT  ALASKA $AGA.V $AAGAF|SILVER47 has discovered a significant high-grade massive sulfide zone at the Red Mountain Project in Alaska, which could enhance its mineral assets.|$AGA.V,$AAGAF, silver
39|SOFTBANK HAS FULLY FUNDED OPENAI COMMITMENT OF $40B - CNBC  CITING SOURCES|SoftBank has fully funded a $40 billion investment commitment to OpenAI, as reported by CNBC. This significant funding highlights SoftBank's confidence in the growth potential of artificial intelligence.|SoftBank,OpenAI
40|$NVDA** - DAN IVES’ TOP AI STOCK PICKS FOR 2026**  Artificial intelligence led markets in 2025  and Wedbush analyst Dan Ives expects new winners to emerge in 2026. His top AI-related picks are Microsoft  Apple  Tesla  Palantir  and CrowdStrike. Nvidia  despite leading the AI rally in recent years  was excluded as Ives focuses on “derivative” beneficiaries of AI spending across the broader tech ecosystem.  Ives argues that every dollar spent on Nvidia chips drives an $8–$10 multiplier across other technology companies  positioning these firms to benefit most in the next phase of the AI cycle.  **Key highlights:**  🔸 $MSFT: Strong upside from Azure  with growth underestimated by the market; shares up 15.6% in 2025.  🔸 $AAPL: Potential acceleration in AI could add $75–$100 per share over time; shares up 9.3%.  🔸 $TSLA: 2026 seen as a breakout year for autonomous driving and robotics; shares up 13.8%.  🔸 $PLTR: Viewed as a potential trillion-dollar market cap AI leader; shares up 143.5%.  🔸 $CRWD: Growing enterprise adoption and expanding product suite; shares up 39.1%.|Dan Ives highlights Microsoft, Apple, Tesla, Palantir, and CrowdStrike as his top AI stock picks for 2026, capitalizing on the growth driven by AI technologies. Despite Nvidia's leading role in AI, it was excluded from the list as Ives prefers companies that benefit more directly from AI spending.|$NVDA,$MSFT,$AAPL,$TSLA,$PLTR, Nvidia,Microsoft,Apple,Tesla,Palantir,CrowdStrike
41|US DEC. MNI CHICAGO REPORT BUSINESS INDEX AT 43.5; EST. 39.8|The US December MNI Chicago Report shows a Business Index of 43.5, exceeding expectations of 39.8.|
42|🚨 PRESIDENT ZELENSKIY TELLS MEDIA IN WHATSAPP CHAT: KYIV IS DISCUSSING WITH PRESIDENT TRUMP US TROOPS PRESENCE IN UKRAINE|President Zelenskiy confirms ongoing discussions with President Trump regarding the presence of US troops in Ukraine, as mentioned in a WhatsApp chat update to the media.|
43|ZELENSKIY SAYS WE DISCUSS BOOTS ON THE GROUND WITH US  OTHER ALLIES  ZELENSKIY SAYS UKRAINE SEEKS ALLIES TO MONITOR POTENTIAL TRUCE  ZELENSKIY SAYS IT'S UP TO US  ALLIES TO DECIDE ON TROOP DEPLOYMENT|Ukrainian President Zelenskiy discusses potential troop deployment with US and other allies, seeking support to monitor a possible truce.|
44|ZELENSKIY SAYS HE IS READY FOR ANY FORMAT OF MEETING WITH PUTIN|Ukrainian President Zelenskiy expresses readiness for any meeting format with Russian President Putin, signaling possible diplomatic efforts. This development comes amidst ongoing tensions between Ukraine and Russia.|
45|INTEL SHARES HIT MORE THAN TWO-WEEK HIGH  LAST UP 4.2%|Intel's shares have risen by 4.2%, reaching a two-week high, signaling positive market momentum for the company.|INTC, INTEL
46|COMEX SILVER EXTENDS GAINS TO 8%|COMEX silver has seen a significant price increase, extending its gains to 8%. This movement indicates a strong bullish trend for the commodity.|SILVER
47|$NVDA** - NVIDIA IN TALKS TO BUY AI21 LABS FOR UP TO $3 BILLION**  Nvidia is in advanced talks to acquire Israeli AI firm AI21 Labs for $2–3 billion  according to local media outlet Calcalist. If completed  this would be Nvidia’s fourth acquisition in Israel and its second largest after Mellanox.  The deal is largely aimed at AI21’s roughly 200 employees  many of whom have advanced AI expertise  implying a valuation of about $10–15 million per employee. AI21 develops large-scale language models and was last valued at $1.4 billion after a 2023 funding round.  Founded in 2017 by Amnon Shashua  who also leads Mobileye  AI21 has attracted strong investor interest amid the AI boom.|NVIDIA is in advanced talks to acquire Israeli AI firm AI21 Labs for between $2 and $3 billion, marking its fourth acquisition in Israel. This move is driven by AI21's expertise and skilled workforce as the company capitalizes on the booming AI industry.|NVIDIA,AI21 Labs,Mobileye, $NVDA
48|ELON MUSK’S XAI HAS BOUGHT A BUILDING FOR A THIRD SUPERSIZED DATA CENTER IT’S PLANNING OUTSIDE MEMPHIS  TENNESSEE- THE INFORMATION|Elon Musk's company XAI has acquired a building for a new data center near Memphis, Tennessee. This move could enhance their operational capabilities in data processing.|XAI
49|FED MINUTES: SOME PARTICIPANTS SUGGESTED UNDER THEIR ECONOMIC OUTLOOKS IT WOULD LIKELY BE APPROPRIATE TO LEAVE RATES UNCHANGED FOR SOME TIME AFTER DECEMBER CUT|The Federal Reserve minutes reveal that some participants believe it may be appropriate to maintain interest rates unchanged for some time following a potential cut in December.|
50|$TSLA** - TESLA ANALYST ESTIMATES SIGNAL Q4 DELIVERY DECLINE**  Tesla has published a compilation of analyst delivery estimates showing an expected 15% year-over-year drop in fourth-quarter vehicle deliveries. Analysts tracked by Tesla forecast 422 850 deliveries  below the Bloomberg consensus of 445 061  which implies a 10% decline.  This is the first time Tesla has publicly shared these estimates on its investor relations website. For the full year  the company’s compiled estimate is about 1.6 million deliveries  down more than 8% from last year  pointing to a second consecutive annual sales decline.  Despite weaker delivery expectations  Tesla shares are up 14% year to date through Monday’s close  trailing the S&P 500’s 17% gain.|Tesla's analyst estimates indicate a 15% year-over-year drop in Q4 vehicle deliveries, with a total forecast of 1.6 million deliveries for the year, down over 8%. Despite this, Tesla's stock has increased by 14% year to date.|Tesla, $TSLA
51|$TSLA** - TESLA STOCK FORECAST: BAIRD PREVIEWS 2026**  Baird expects Tesla to enter 2026 with multiple catalysts  maintaining an Outperform rating and a $548 price target. The firm views Tesla as a core holding  noting the stock is up 21% year to date and 7% over the past month  outperforming the S&P 500.  Key catalysts include expected robotaxi announcements  potential regulatory and revenue updates in China and the EU  and progress in Optimus production  Tesla Semi volumes  and Energy segment growth. Baird also reaffirmed expectations for paid robotaxi service and initial Optimus commercialization in 2027.  The firm updated its long-term model through 2030  removed prior Model 2 delivery assumptions  and continues to base its valuation on roughly 70x 2030 EBITDA  discounted to year-end 2026.|Baird has maintained an Outperform rating for Tesla, projecting a $548 price target, citing multiple catalysts as the stock continues to outperform the S&P 500. Key developments include anticipated robotaxi updates and improvements in production and revenue projections in China and the EU.|Tesla, $TSLA
52|SILVER47 DISCOVERS NEW HIGH-GRADE MASSIVE SULFIDE ZONE AT RED MOUNTAIN PROJECT  ALASKA $AGA.V $AAGAF|SILVER47 reports the discovery of a new high-grade massive sulfide zone at the Red Mountain Project in Alaska, potentially boosting the value of their stock represented by tickers $AGA.V and $AAGAF.|$AGA.V,$AAGAF, silver
53|SOFTBANK HAS FULLY FUNDED OPENAI COMMITMENT OF $40B - CNBC  CITING SOURCES|SoftBank has fully funded its commitment of $40 billion to OpenAI, according to sources cited by CNBC.|SOFTBANK,OPENAI
54|$NVDA** - DAN IVES’ TOP AI STOCK PICKS FOR 2026**  Artificial intelligence led markets in 2025  and Wedbush analyst Dan Ives expects new winners to emerge in 2026. His top AI-related picks are Microsoft  Apple  Tesla  Palantir  and CrowdStrike. Nvidia  despite leading the AI rally in recent years  was excluded as Ives focuses on “derivative” beneficiaries of AI spending across the broader tech ecosystem.  Ives argues that every dollar spent on Nvidia chips drives an $8–$10 multiplier across other technology companies  positioning these firms to benefit most in the next phase of the AI cycle.  **Key highlights:**  🔸 $MSFT: Strong upside from Azure  with growth underestimated by the market; shares up 15.6% in 2025.  🔸 $AAPL: Potential acceleration in AI could add $75–$100 per share over time; shares up 9.3%.  🔸 $TSLA: 2026 seen as a breakout year for autonomous driving and robotics; shares up 13.8%.  🔸 $PLTR: Viewed as a potential trillion-dollar market cap AI leader; shares up 143.5%.  🔸 $CRWD: Growing enterprise adoption and expanding product suite; shares up 39.1%.|Dan Ives from Wedbush highlights his top AI stock picks for 2026, including Microsoft, Apple, Tesla, and Palantir, while noting Nvidia's impressive multiplier effect in the AI sector.|$NVDA,$MSFT,$AAPL,$TSLA,$PLTR, Nvidia,Microsoft,Apple,Tesla,Palantir,CrowdStrike
55|US DEC. MNI CHICAGO REPORT BUSINESS INDEX AT 43.5; EST. 39.8|The MNI Chicago Report for December indicates a Business Index of 43.5, outperforming the estimate of 39.8.|
56|🚨 PRESIDENT ZELENSKIY TELLS MEDIA IN WHATSAPP CHAT: KYIV IS DISCUSSING WITH PRESIDENT TRUMP US TROOPS PRESENCE IN UKRAINE|President Zelenskiy has revealed in a WhatsApp chat that discussions are taking place with President Trump regarding the presence of US troops in Ukraine.|
57|ZELENSKIY SAYS WE DISCUSS BOOTS ON THE GROUND WITH US  OTHER ALLIES  ZELENSKIY SAYS UKRAINE SEEKS ALLIES TO MONITOR POTENTIAL TRUCE  ZELENSKIY SAYS IT'S UP TO US  ALLIES TO DECIDE ON TROOP DEPLOYMENT|Ukrainian President Zelenskiy discusses troop deployment with US and allies, emphasizing the need for allied support to monitor a potential truce.|
58|ZELENSKIY SAYS HE IS READY FOR ANY FORMAT OF MEETING WITH PUTIN|Ukrainian President Zelenskiy expresses readiness for any format of meeting with Russian President Putin amid ongoing tensions.|
59|INTEL SHARES HIT MORE THAN TWO-WEEK HIGH  LAST UP 4.2%|Intel shares have reached a two-week high, increasing by 4.2%.|INTC, Intel
60|COMEX SILVER EXTENDS GAINS TO 8%|COMEX silver has achieved an impressive gain of 8%, indicating strong performance in the commodity market.|silver
61|$NVDA** - NVIDIA IN TALKS TO BUY AI21 LABS FOR UP TO $3 BILLION**  Nvidia is in advanced talks to acquire Israeli AI firm AI21 Labs for $2–3 billion  according to local media outlet Calcalist. If completed  this would be Nvidia’s fourth acquisition in Israel and its second largest after Mellanox.  The deal is largely aimed at AI21’s roughly 200 employees  many of whom have advanced AI expertise  implying a valuation of about $10–15 million per employee. AI21 develops large-scale language models and was last valued at $1.4 billion after a 2023 funding round.  Founded in 2017 by Amnon Shashua  who also leads Mobileye  AI21 has attracted strong investor interest amid the AI boom.|NVIDIA is in advanced talks to acquire Israeli AI firm AI21 Labs for $2-3 billion, marking a significant move in the AI sector. This acquisition, aimed at leveraging AI21's expertise, would be NVIDIA's fourth acquisition in Israel.|NVIDIA,AI21 Labs,Mobileye, NVDA
62|ELON MUSK’S XAI HAS BOUGHT A BUILDING FOR A THIRD SUPERSIZED DATA CENTER IT’S PLANNING OUTSIDE MEMPHIS  TENNESSEE- THE INFORMATION|Elon Musk's XAI has acquired a building to establish a third data center near Memphis, Tennessee, signaling further expansion in tech infrastructure.|XAI
63|FED MINUTES: SOME PARTICIPANTS SUGGESTED UNDER THEIR ECONOMIC OUTLOOKS IT WOULD LIKELY BE APPROPRIATE TO LEAVE RATES UNCHANGED FOR SOME TIME AFTER DECEMBER CUT|The Federal Reserve's minutes indicate that some members believe keeping interest rates unchanged may be appropriate after a potential December cut, reflecting caution in economic outlooks.|
64|VENEZUELA CURRENCY CLOSES THE YEAR AT 301 BOLIVARS TO THE DOLLAR  DEPRECIATING 83% YEAR-ON-YEAR|Venezuela's currency ended the year at 301 Bolivars per Dollar, reflecting a staggering 83% depreciation compared to the previous year.|
65|*CHINA DEC. MANUFACTURING PMI 50.1; EST. 49.2 *CHINA DEC. NON-MANUFACTURING PMI 50.2; EST. 49.6 *CHINA DEC. COMPOSITE PMI 50.7; PREV. 49.7|China's December Manufacturing PMI came in at 50.1, surpassing estimates, while the Non-Manufacturing PMI also exceeded expectations at 50.2, indicating positive economic activity.|
66|SPOT PALLADIUM FALLS OVER 4% INTRADAY TO $1 555.31/OZ AFTER CME RAISED PRECIOUS METALS FUTURES MARGIN FOR THE SECOND TIME IN A WEEK|Palladium prices have dropped over 4% intraday, reaching $1,555.31 per ounce, following a second margin increase by the CME for precious metals futures this week.|Palladium
67|CDC: US MEASLES CASES AT 30-YEAR HIGH  The CDC says measles cases in the US have passed 2 000 in 2025  the highest level in more than three decades. Nearly 2 000 cases were reported across 44 jurisdictions  with Texas the hardest hit. Most cases involved unvaccinated people or those with unknown vaccination status.|The CDC reports that measles cases in the US have risen to over 2,000 in 2025, marking the highest level in more than three decades, with Texas experiencing the most cases.|
68|NETANYAHU SAID TO HAVE RAISED NEW IRAN STRIKES WITH TRUMP  Israeli Prime Minister Benjamin Netanyahu brought up the topic of the possibily hitting Iran again in 2026 with United States President Donald Trump  Axios reported on Wednesday.|Israeli Prime Minister Benjamin Netanyahu and U.S. President Donald Trump discussed the possibility of renewed strikes on Iran in 2026, according to Axios.|
69|*US JOBLESS CLAIMS 199K IN DEC. 27 WEEK; EST. 220K *US CONTINUING CLAIMS 1.866M IN DEC. 20 WEEK; PREV. 1.923M|US jobless claims were reported at 199K, significantly lower than the estimated 220K, while continuing claims decreased to 1.866M from the previous 1.923M.|
70|UKRAINE STRUCK OIL DEPOT IN RUSSIAN CITY OF RYBINSK  SBU OFFICIAL SAYS.|A reported strike by Ukraine on an oil depot in the Russian city of Rybinsk has been confirmed by an official from the SBU. This escalation highlights ongoing geopolitical tensions in the region.|oil
71|Trump: ‘Tim Waltz of Minnesota is a Crooked Governor!!!’|Trump criticized Minnesota Governor Tim Waltz, calling him corrupt in a recent statement.|
72|**HOLIDAYS DISTORTING JOBLESS CLAIMS DATA**  Citi economists warn that holiday periods are causing unusually large distortions in the seasonal adjustments for jobless claims this year.  **Key data from Christmas week:**  🔸 Initial claims fell to 199 000 (from 215 000 the prior week) 🔸 This was much lower than the expected 220 000  A more reliable picture of the labor market may not emerge until mid-January.That said  the low level of claims still points to very few layoffs.  Ci**ti's forecasts for the upcoming December jobs report (due next week):  **🔸 Nonfarm payrolls: +75 000 🔸 Unemployment rate: rising to 4.7% (mainly due to higher labor force participation)|Citi economists highlight that holiday periods are significantly distorting jobless claims data, with initial claims falling to 199,000, below expectations of 220,000. The labor market appears resilient with few layoffs, as reflected in the upcoming December jobs report forecast.|Citi
73|**WILL SCOTUS UPHOLD TRUMP'S TARIFFS?**  Kalshi Prediction Market – Dec 31  2025 (New Year's Eve)  📈 Yes → 36% chance (+10 points in recent days)    📉 No → 64% (implied)  December started quiet with odds in the low 20s  but the market has surged over the past week amid rising trading volume ($1.76M traded).  As legal challenges pile up against Trump's new tariffs  bettors are increasingly leaning toward the Supreme Court ultimately siding with the administration. https://kalshi.com/markets/kxdjtvostariffs/tariffs-case/kxdjtvostariffs?utm_source=walterbloomberg|The Kalshi Prediction Market indicates a rising probability of the Supreme Court upholding Trump's tariffs, with a 36% chance for affirmation and trading volumes increasing significantly.|
74|"Track what Kalshi's markets predict for ""Will the Supreme Court rule in favor of Trump's tariffs?""  or trade it yourself."|Kalshi's markets are focusing on the potential Supreme Court ruling regarding Trump's tariffs, which could have significant implications for trade policy in the USA.|
75|$UBER - UBER CONSIDERS DEAL FOR PARKING APP SPOTHERO|Uber is exploring a potential deal to acquire the parking application SpotHero.|UBER, $UBER
76|WAYMO SAYS THEY PREPARE FOR COMMERCIAL LAUNCH NEXT YEAR IN LONDON - X POST|Waymo is preparing for a commercial launch of their services next year in London, signaling an expansion in the autonomous vehicle market.|WAYMO
77|"**TRUMP: SEND SOMALIS BACK FROM WHERE THEY CAME**  President Donald Trump posted on Truth Social  claiming that up to 90% of fraud in Minnesota is committed by Somali immigrants who entered the U.S. illegally.  He attacked Rep. Ilhan Omar (D-Minn.) as an ""ungrateful loser who only complains and never contributes"" and a ""scammer.""  Trump called such individuals ""lowlifes"" and a ""liability"" to America  urging: ""Send them back from where they came  Somalia  perhaps the worst  and most corrupt  country on earth. MAKE AMERICA GREAT AGAIN!!!"""|President Trump criticized Somali immigrants in the U.S. and suggested sending them back to Somalia, labeling them as a liability and attacking Rep. Ilhan Omar.|
78|U.S. 30-YR FIXED RATE MORTGAGE AVERAGES 6.15 PCT IN DEC 31 WEEK  LOWEST SINCE OCT 3  2024 WEEK  VS 6.18 PCT PRIOR WEEK-FREDDIE MAC|Freddie Mac reported that the average rate for a 30-year fixed-rate mortgage in the U.S. dropped to 6.15% for the week ending December 31, marking the lowest level since October 3, 2024, compared to 6.18% the prior week.|Freddie Mac
79|SPOT GOLD SET TO RISE OVER 64% IN 2025  ITS BEST YEAR SINCE 1979|Spot gold is projected to rise over 64% in 2025, marking its best performance since 1979.|Gold
80|SPOT SILVER SET TO LOG A 147% GAIN IN 2025  ITS BEST YEAR ON RECORD|Silver is projected to achieve a remarkable 147% gain in 2025, marking its best year on record.|silver
81|BRIDGEWATER'S NEW AI MACRO FUND GAINED 11.9% IN 2025  SOURCE SAYS|Bridgewater's new AI Macro Fund reportedly gained 11.9% in 2025, according to a source.|BRIDGEWATER
82|NETANYAHU SAID TO HAVE RAISED NEW IRAN STRIKES WITH TRUMP  Israeli Prime Minister Benjamin Netanyahu brought up the topic of the possibily hitting Iran again in 2026 with United States President Donald Trump  Axios reported on Wednesday.|Israeli Prime Minister Benjamin Netanyahu has reportedly discussed potential military actions against Iran in 2026 with U.S. President Donald Trump, signaling ongoing geopolitical tensions.|
